,x,y,z,joint,pressure,th_values,d_values
3200,-20.024197727143967,0,62.88388963748858,4,4.0,0.4272566008882118,0.0
3201,-20.0718018688164,0,62.869200899681864,4,4.01,0.4281903520380288,0.0
3202,-20.11939155783239,0,62.85446233250901,4,4.0200000000000005,0.4291241031878459,0.0
3203,-20.16696674207069,0,62.839673947483305,4,4.03,0.4300578543376628,0.0
3204,-20.214527369418548,0,62.82483575617253,4,4.04,0.43099160548747967,0.0
3205,-20.26207338777171,0,62.80994777019892,4,4.05,0.43192535663729664,0.0
3206,-20.309604745034534,0,62.795010001239206,4,4.0600000000000005,0.43285910778711373,0.0
3207,-20.35712138911999,0,62.78002246102458,4,4.07,0.43379285893693065,0.0
3208,-20.40462326794976,0,62.76498516134069,4,4.08,0.4347266100867476,0.0
3209,-20.452110329454268,0,62.749898114027644,4,4.09,0.4356603612365646,0.0
3210,-20.49958252157276,0,62.734761330979964,4,4.1,0.4365941123863814,0.0
3211,-20.547039792253333,0,62.719574824146676,4,4.11,0.4375278635361985,0.0
3212,-20.594482089453024,0,62.704338605531206,4,4.12,0.43846161468601547,0.0
3213,-20.64190936113783,0,62.6890526871914,4,4.13,0.43939536583583244,0.0
3214,-20.689321555282806,0,62.67371708123956,4,4.14,0.44032911698564936,0.0
3215,-20.73671861987209,0,62.65833179984239,4,4.15,0.44126286813546634,0.0
3216,-20.78410050289896,0,62.642896855221004,4,4.16,0.4421966192852833,0.0
3217,-20.83146715236592,0,62.62741225965094,4,4.17,0.4431303704351003,0.0
3218,-20.87881851628474,0,62.61187802546212,4,4.18,0.4440641215849172,0.0
3219,-20.926154542676493,0,62.596294165038884,4,4.19,0.4449978727347342,0.0
3220,-20.97347517957164,0,62.58066069081994,4,4.2,0.44593162388455115,0.0
3221,-21.02078037501008,0,62.56497761529838,4,4.21,0.44686537503436813,0.0
3222,-21.068070077041206,0,62.549244951021706,4,4.22,0.44779912618418505,0.0
3223,-21.11534423372395,0,62.53346271059173,4,4.23,0.44873287733400213,0.0
3224,-21.16260279312685,0,62.51763090666468,4,4.24,0.4496666284838191,0.0
3225,-21.209845703328117,0,62.50174955195112,4,4.25,0.450600379633636,0.0
3226,-21.257072912415676,0,62.48581865921595,4,4.26,0.4515341307834529,0.0
3227,-21.304284368487235,0,62.46983824127847,4,4.2700000000000005,0.45246788193327,0.0
3228,-21.351480019650314,0,62.45380831101225,4,4.28,0.45340163308308695,0.0
3229,-21.398659814022338,0,62.43772888134524,4,4.29,0.4543353842329039,0.0
3230,-21.445823699730695,0,62.42159996525966,4,4.3,0.4552691353827209,0.0
3231,-21.492971624912744,0,62.40542157579213,4,4.3100000000000005,0.4562028865325378,0.0
3232,-21.540103537715922,0,62.3891937260335,4,4.32,0.4571366376823548,0.0
3233,-21.587219386297786,0,62.37291642912895,4,4.33,0.45807038883217177,0.0
3234,-21.634319118826056,0,62.35658969827798,4,4.34,0.45900413998198875,0.0
3235,-21.681402683478698,0,62.340213546734354,4,4.3500000000000005,0.45993789113180567,0.0
3236,-21.728470028443954,0,62.32378798780612,4,4.36,0.46087164228162264,0.0
3237,-21.77552110192041,0,62.30731303485561,4,4.37,0.4618053934314396,0.0
3238,-21.82255585211706,0,62.290788701299405,4,4.38,0.46273914458125653,0.0
3239,-21.86957422725336,0,62.27421500060838,4,4.39,0.4636728957310735,0.0
