time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.59,0.177,0,0,1.22368,-1.25131,2.53337,-6.13682,0.284962,-14.9057,0.0214763,-22.3602,-2.86498,-32.6726,-11.2649,-45.0819,-17.2473,-55.2419,-26.5198,-65.5749,-47.0537,-80.0517
0.6,0.18,0,0,1.24296,-1.27366,2.55573,-6.23775,0.249133,-15.1132,-0.0521381,-22.6669,-3.05077,-33.0962,-11.6408,-45.581,-17.7973,-55.8078,-27.31,-66.1432,-48.2117,-80.4838
0.61,0.183,0,0,1.24504,-1.26541,2.57087,-6.23196,0.256105,-15.1139,-0.0394439,-22.6983,-3.07739,-33.1897,-11.7652,-45.7107,-18.0188,-55.9871,-27.6913,-66.3318,-48.8455,-80.5723
0.62,0.186,0,0,1.23759,-1.23776,2.58068,-6.15784,0.291766,-14.9787,0.0324025,-22.5501,-2.99738,-33.0663,-11.7192,-45.5978,-18.0175,-55.9131,-27.7958,-66.2739,-49.1252,-80.4415
0.63,0.189,0,0,1.22582,-1.2034,2.58892,-6.06054,0.33587,-14.7996,0.121526,-22.3428,-2.88398,-32.8731,-11.6207,-45.4075,-17.9477,-55.7587,-27.8154,-66.1371,-49.2962,-80.2397
0.64,0.192,0,0,1.21939,-1.17784,2.59905,-5.99449,0.367185,-14.6809,0.185085,-22.2166,-2.81888,-32.7768,-11.5983,-45.3249,-17.9778,-55.7159,-27.9593,-66.1067,-49.6226,-80.1284
0.65,0.195,0,0,1.22508,-1.17585,2.61511,-6.00889,0.367027,-14.7182,0.183591,-22.2946,-2.87114,-32.9231,-11.7593,-45.5099,-18.2465,-55.9487,-28.3973,-66.3395,-50.3161,-80.2435
0.66,0.198,0,0,1.25024,-1.21007,2.63971,-6.14878,0.317099,-14.9974,0.0795206,-22.6919,-3.11157,-33.4477,-12.2134,-46.11,-18.8977,-56.608,-29.3071,-66.976,-51.5961,-80.6999
0.67,0.201,0,0,1.29588,-1.28391,2.67208,-6.42494,0.207383,-15.5403,-0.145056,-23.435,-3.5681,-34.3796,-13.002,-47.153,-19.9822,-57.7169,-30.7459,-68.0307,-53.5263,-81.4964
0.68,0.204,0,0,1.35972,-1.39495,2.70567,-6.82777,0.0336584,-16.3192,-0.49368,-24.4879,-4.24271,-35.6714,-14.1174,-48.5785,-21.4859,-59.2063,-32.6911,-69.4274,-56.065,-82.5501
